element,integration_point,x,y,e_11,e_22,e_12,s_11,s_22,s_12
0,0,0.2113,0.2113,0.0350,-0.0150,-0.0000,1.0000,-0.0000,0.0000
0,1,0.7887,0.2113,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
0,2,0.2113,0.7887,0.0350,-0.0150,-0.0000,1.0000,-0.0000,0.0000
0,3,0.7887,0.7887,0.0350,-0.0150,-0.0000,1.0000,-0.0000,0.0000
1,0,1.2113,0.2113,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
1,1,1.7887,0.2113,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
1,2,1.2113,0.7887,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
1,3,1.7887,0.7887,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
2,0,2.2113,0.2113,0.0350,-0.0150,-0.0000,1.0000,-0.0000,0.0000
2,1,2.7887,0.2113,0.0350,-0.0150,-0.0000,1.0000,-0.0000,0.0000
2,2,2.2113,0.7887,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
2,3,2.7887,0.7887,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
3,0,3.2113,0.2113,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
3,1,3.7887,0.2113,0.0350,-0.0150,-0.0000,1.0000,0.0000,-0.0000
3,2,3.2113,0.7887,0.0350,-0.0150,-0.0000,1.0000,-0.0000,0.0000
3,3,3.7887,0.7887,0.0350,-0.0150,-0.0000,1.0000,-0.0000,-0.0000
4,0,0.2113,1.2113,0.0350,-0.0150,-0.0000,1.0000,-0.0000,-0.0000
4,1,0.7887,1.2113,0.0350,-0.0150,-0.0000,1.0000,-0.0000,-0.0000
4,2,0.2113,1.7887,0.0350,-0.0150,-0.0000,1.0000,-0.0000,-0.0000
4,3,0.7887,1.7887,0.0350,-0.0150,-0.0000,1.0000,-0.0000,-0.0000
5,0,1.2113,1.2113,0.0350,-0.0150,-0.0000,1.0000,-0.0000,-0.0000
5,1,1.7887,1.2113,0.0350,-0.0150,-0.0000,1.0000,-0.0000,0.0000
5,2,1.2113,1.7887,0.0350,-0.0150,-0.0000,1.0000,-0.0000,-0.0000
5,3,1.7887,1.7887,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
6,0,2.2113,1.2113,0.0350,-0.0150,-0.0000,1.0000,0.0000,-0.0000
6,1,2.7887,1.2113,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
6,2,2.2113,1.7887,0.0350,-0.0150,-0.0000,1.0000,0.0000,-0.0000
6,3,2.7887,1.7887,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
7,0,3.2113,1.2113,0.0350,-0.0150,-0.0000,1.0000,-0.0000,0.0000
7,1,3.7887,1.2113,0.0350,-0.0150,-0.0000,1.0000,-0.0000,0.0000
7,2,3.2113,1.7887,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
7,3,3.7887,1.7887,0.0350,-0.0150,-0.0000,1.0000,0.0000,0.0000
