element,integration_point,x,y,e_11,e_22,e_12,s_11,s_22,s_12,e_13,s_13,e_23,s_23,e_33,s_33
0,0,0.5258,-0.5258,0.0385,-0.0115,-0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0115,-0.0000
0,1,0.1409,-0.1409,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,-0.0000
0,2,0.0377,-0.0377,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,-0.0000
0,3,0.5258,-0.5258,0.0385,-0.0115,-0.0000,1.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0115,0.0000
0,4,0.1409,-0.1409,0.0385,-0.0115,-0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0115,0.0000
0,5,0.5258,-0.5258,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,0.0000
0,6,0.1409,-0.1409,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,-0.0000
0,7,1.9623,-1.9623,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0115,-0.0000
1,0,1.5774,-0.5258,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,-0.0000
1,1,0.4226,-0.1409,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0115,0.0000
1,2,0.1132,-0.0377,0.0385,-0.0115,-0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,0.0000
1,3,1.5774,-0.5258,0.0385,-0.0115,-0.0000,1.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0115,0.0000
1,4,0.4226,-0.1409,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,0.0000
1,5,1.5774,-0.5258,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0115,-0.0000
1,6,0.4226,-0.1409,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,-0.0000
1,7,5.8868,-1.9623,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0115,-0.0000
2,0,2.6289,-0.5258,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0115,-0.0000
2,1,0.7044,-0.1409,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0115,0.0000
2,2,0.1887,-0.0377,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0115,0.0000
2,3,2.6289,-0.5258,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0115,0.0000
2,4,0.7044,-0.1409,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0115,0.0000
2,5,2.6289,-0.5258,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0115,-0.0000
2,6,0.7044,-0.1409,0.0385,-0.0115,-0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0115,-0.0000
2,7,9.8113,-1.9623,0.0385,-0.0115,-0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0115,-0.0000
3,0,0.5258,0.5258,0.0385,-0.0115,-0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0115,-0.0000
3,1,0.1409,0.1409,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0115,0.0000
3,2,0.0377,0.0377,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,0.0000
3,3,0.5258,0.5258,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0115,0.0000
3,4,0.1409,0.1409,0.0385,-0.0115,-0.0000,1.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0115,0.0000
3,5,0.5258,0.5258,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0115,-0.0000
3,6,0.1409,0.1409,0.0385,-0.0115,-0.0000,1.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,-0.0000
3,7,1.9623,1.9623,0.0385,-0.0115,-0.0000,1.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0115,-0.0000
4,0,1.5774,0.5258,0.0385,-0.0115,-0.0000,1.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,-0.0000
4,1,0.4226,0.1409,0.0385,-0.0115,-0.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0115,0.0000
4,2,0.1132,0.0377,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,0.0000
4,3,1.5774,0.5258,0.0385,-0.0115,-0.0000,1.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0115,-0.0000
4,4,0.4226,0.1409,0.0385,-0.0115,-0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0115,0.0000
4,5,1.5774,0.5258,0.0385,-0.0115,-0.0000,1.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0115,-0.0000
