element,integration_point,x,y,e_11,e_22,e_12,s_11,s_22,s_12
0,0,0.2113,0.0211,-0.0001,0.0000,0.0507,-1.3105,0.0043,-0.5016
0,1,0.7887,0.0211,-0.0001,0.0000,0.0507,-1.3105,0.0000,2.4341
0,2,0.2113,0.0789,-0.0000,0.0000,0.0507,-0.7234,0.0043,-0.5019
0,3,0.7887,0.0789,-0.0000,0.0000,0.0507,-0.7234,0.0000,2.4339
1,0,1.2113,0.0211,-0.0002,-0.0000,0.0497,-3.9316,-0.0011,-3.4375
1,1,1.7887,0.0211,-0.0002,-0.0000,0.0497,-3.9316,-0.0000,5.3696
1,2,1.2113,0.0789,-0.0001,-0.0000,0.0497,-2.1701,-0.0011,-3.4374
1,3,1.7887,0.0789,-0.0001,-0.0000,0.0497,-2.1701,-0.0000,5.3696
2,0,2.2113,0.0211,-0.0003,0.0000,0.0476,-6.5526,0.0003,-6.3731
2,1,2.7887,0.0211,-0.0003,0.0000,0.0476,-6.5526,0.0000,8.3053
2,2,2.2113,0.0789,-0.0002,0.0000,0.0476,-3.6169,0.0003,-6.3731
2,3,2.7887,0.0789,-0.0002,0.0000,0.0476,-3.6169,0.0000,8.3053
3,0,3.2113,0.0211,-0.0005,-0.0000,0.0446,-9.1736,-0.0001,-9.3088
3,1,3.7887,0.0211,-0.0005,-0.0000,0.0446,-9.1736,-0.0002,11.2411
3,2,3.2113,0.0789,-0.0003,-0.0000,0.0446,-5.0637,-0.0001,-9.3088
3,3,3.7887,0.0789,-0.0003,-0.0000,0.0446,-5.0637,-0.0002,11.2411
4,0,4.2113,0.0211,-0.0006,0.0000,0.0405,-11.7946,0.0000,-12.2445
4,1,4.7887,0.0211,-0.0006,0.0000,0.0405,-11.7946,0.0007,14.1762
4,2,4.2113,0.0789,-0.0003,0.0000,0.0405,-6.5105,0.0000,-12.2445
4,3,4.7887,0.0789,-0.0003,0.0000,0.0405,-6.5105,0.0007,14.1763
5,0,5.2113,0.0211,-0.0007,-0.0000,0.0354,-14.4158,-0.0001,-15.1800
5,1,5.7887,0.0211,-0.0007,-0.0000,0.0354,-14.4158,-0.0027,17.1137
5,2,5.2113,0.0789,-0.0004,-0.0000,0.0354,-7.9571,-0.0001,-15.1801
5,3,5.7887,0.0789,-0.0004,-0.0000,0.0354,-7.9571,-0.0027,17.1136
6,0,6.2113,0.0211,-0.0009,0.0000,0.0293,-17.0363,0.0002,-18.1163
6,1,6.7887,0.0211,-0.0009,0.0000,0.0293,-17.0363,0.0108,20.0435
6,2,6.2113,0.0789,-0.0005,0.0000,0.0293,-9.4043,0.0002,-18.1158
6,3,6.7887,0.0789,-0.0005,0.0000,0.0293,-9.4043,0.0108,20.0441
7,0,7.2113,0.0211,-0.0010,-0.0000,0.0222,-19.6590,-0.0007,-21.0493
7,1,7.7887,0.0211,-0.0010,-0.0000,0.0222,-19.6590,-0.0424,22.9970
7,2,7.2113,0.0789,-0.0005,-0.0000,0.0222,-10.8497,-0.0007,-21.0514
7,3,7.7887,0.0789,-0.0005,-0.0000,0.0222,-10.8497,-0.0424,22.9949
8,0,8.2113,0.0211,-0.0011,0.0000,0.0141,-22.2764,0.0019,-23.9957
8,1,8.7887,0.0211,-0.0011,0.0000,0.0141,-22.2764,0.1649,25.8841
8,2,8.2113,0.0789,-0.0006,0.0000,0.0141,-12.3004,0.0019,-23.9876
8,3,8.7887,0.0789,-0.0006,0.0000,0.0141,-12.3004,0.1649,25.8922
9,0,9.2113,0.0211,-0.0012,-0.0000,0.0049,-24.9006,-0.0047,-26.8899
9,1,9.7887,0.0211,-0.0012,-0.0000,0.0049,-24.9006,-0.6312,28.9274
9,2,9.2113,0.0789,-0.0007,-0.0000,0.0049,-13.7371,-0.0047,-26.9213
9,3,9.7887,0.0789,-0.0007,-0.0000,0.0049,-13.7371,-0.6312,28.8961
10,0,9.2113,0.1211,-0.0003,-0.0000,0.0049,-5.5714,-0.0056,-26.8170
10,1,9.7887,0.1211,-0.0003,-0.0000,0.0049,-5.5714,-0.3727,28.9107
10,2,9.2113,0.1789,0.0003,-0.0000,0.0049,5.5741,-0.0056,-26.8354
10,3,9.7887,0.1789,0.0003,-0.0000,0.0049,5.5741,-0.3727,28.8924
11,0,8.2113,0.1211,-0.0002,0.0000,0.0141,-4.9943,0.0027,-23.8864
11,1,8.7887,0.1211,-0.0002,0.0000,0.0141,-4.9943,0.0950,26.0364
11,2,8.2113,0.1789,0.0002,0.0000,0.0141,4.9902,0.0027,-23.8818
11,3,8.7887,0.1789,0.0002,0.0000,0.0141,4.9902,0.0950,26.0410
12,0,7.2113,0.1211,-0.0002,-0.0000,0.0222,-4.4020,-0.0010,-20.9496
12,1,7.7887,0.1211,-0.0002,-0.0000,0.0222,-4.4020,-0.0230,23.0805
12,2,7.2113,0.1789,0.0002,-0.0000,0.0222,4.4040,-0.0010,-20.9507
12,3,7.7887,0.1789,0.0002,-0.0000,0.0222,4.4040,-0.0230,23.0794
13,0,6.2113,0.1211,-0.0002,0.0000,0.0293,-3.8169,0.0003,-18.0141
13,1,6.7887,0.1211,-0.0002,0.0000,0.0293,-3.8169,0.0053,20.1512
13,2,6.2113,0.1789,0.0002,0.0000,0.0293,3.8162,0.0003,-18.0139
13,3,6.7887,0.1789,0.0002,0.0000,0.0293,3.8162,0.0053,20.1515
14,0,5.2113,0.1211,-0.0002,-0.0000,0.0354,-3.2291,-0.0001,-15.0784
14,1,5.7887,0.1211,-0.0002,-0.0000,0.0354,-3.2291,-0.0011,17.2136
14,2,5.2113,0.1789,0.0002,-0.0000,0.0354,3.2293,-0.0001,-15.0785
14,3,5.7887,0.1789,0.0002,-0.0000,0.0354,3.2293,-0.0011,17.2135
15,0,4.2113,0.1211,-0.0001,0.0000,0.0405,-2.6422,0.0000,-12.1428
15,1,4.7887,0.1211,-0.0001,0.0000,0.0405,-2.6422,0.0002,14.2785
15,2,4.2113,0.1789,0.0001,0.0000,0.0405,2.6421,0.0000,-12.1428
15,3,4.7887,0.1789,0.0001,0.0000,0.0405,2.6421,0.0002,14.2785
16,0,3.2113,0.1211,-0.0001,-0.0000,0.0446,-2.0550,-0.0000,-9.2071
16,1,3.7887,0.1211,-0.0001,-0.0000,0.0446,-2.0550,-0.0000,11.3426
16,2,3.2113,0.1789,0.0001,-0.0000,0.0446,2.0550,-0.0000,-9.2071
16,3,3.7887,0.1789,0.0001,-0.0000,0.0446,2.0550,-0.0000,11.3426
17,0,2.2113,0.1211,-0.0001,0.0000,0.0476,-1.4678,0.0000,-6.2714
17,1,2.7887,0.1211,-0.0001,-0.0000,0.0476,-1.4678,-0.0000,8.4070
17,2,2.2113,0.1789,0.0001,0.0000,0.0476,1.4678,0.0000,-6.2714
17,3,2.7887,0.1789,0.0001,-0.0000,0.0476,1.4678,-0.0000,8.4070
18,0,1.2113,0.1211,-0.0000,-0.0000,0.0497,-0.8807,-0.0000,-3.3357
18,1,1.7887,0.1211,-0.0000,0.0000,0.0497,-0.8807,0.0000,5.4713
18,2,1.2113,0.1789,0.0000,-0.0000,0.0497,0.8807,-0.0000,-3.3357
18,3,1.7887,0.1789,0.0000,0.0000,0.0497,0.8807,0.0000,5.4713
19,0,0.2113,0.1211,-0.0000,0.0000,0.0507,-0.2936,0.0000,-0.4000
19,1,0.7887,0.1211,-0.0000,-0.0000,0.0507,-0.2936,-0.0000,2.5356
19,2,0.2113,0.1789,0.0000,0.0000,0.0507,0.2936,0.0000,-0.4000
19,3,0.7887,0.1789,0.0000,-0.0000,0.0507,0.2936,-0.0000,2.5356
20,0,0.2113,0.2211,0.0000,-0.0000,0.0507,0.7234,-0.0043,-0.5019
20,1,0.7887,0.2211,0.0000,-0.0000,0.0507,0.7234,-0.0000,2.4339
20,2,0.2113,0.2789,0.0001,-0.0000,0.0507,1.3105,-0.0043,-0.5016
20,3,0.7887,0.2789,0.0001,-0.0000,0.0507,1.3105,-0.0000,2.4341
21,0,1.2113,0.2211,0.0001,0.0000,0.0497,2.1701,0.0011,-3.4374
21,1,1.7887,0.2211,0.0001,0.0000,0.0497,2.1701,0.0000,5.3696
21,2,1.2113,0.2789,0.0002,0.0000,0.0497,3.9315,0.0011,-3.4375
21,3,1.7887,0.2789,0.0002,0.0000,0.0497,3.9315,0.0000,5.3696
22,0,2.2113,0.2211,0.0002,-0.0000,0.0476,3.6169,-0.0003,-6.3731
22,1,2.7887,0.2211,0.0002,-0.0000,0.0476,3.6169,-0.0000,8.3053
22,2,2.2113,0.2789,0.0003,-0.0000,0.0476,6.5526,-0.0003,-6.3731
22,3,2.7887,0.2789,0.0003,-0.0000,0.0476,6.5526,-0.0000,8.3053
23,0,3.2113,0.2211,0.0003,0.0000,0.0446,5.0637,0.0001,-9.3088
23,1,3.7887,0.2211,0.0003,-0.0000,0.0446,5.0637,-0.0000,11.2409
23,2,3.2113,0.2789,0.0005,0.0000,0.0446,9.1736,0.0001,-9.3088
23,3,3.7887,0.2789,0.0005,-0.0000,0.0446,9.1736,-0.0000,11.2409
24,0,4.2113,0.2211,0.0003,-0.0000,0.0405,6.5104,-0.0000,-12.2444
24,1,4.7887,0.2211,0.0003,0.0000,0.0405,6.5104,0.0001,14.1769
24,2,4.2113,0.2789,0.0006,-0.0000,0.0405,11.7947,-0.0000,-12.2444
24,3,4.7887,0.2789,0.0006,0.0000,0.0405,11.7947,0.0001,14.1769
25,0,5.2113,0.2211,0.0004,-0.0000,0.0354,7.9572,-0.0000,-15.1802
25,1,5.7887,0.2211,0.0004,-0.0000,0.0354,7.9572,-0.0003,17.1115
25,2,5.2113,0.2789,0.0007,-0.0000,0.0354,14.4155,-0.0000,-15.1802
25,3,5.7887,0.2789,0.0007,-0.0000,0.0354,14.4155,-0.0003,17.1115
26,0,6.2113,0.2211,0.0005,0.0000,0.0293,9.4040,0.0001,-18.1156
26,1,6.7887,0.2211,0.0005,0.0000,0.0293,9.4040,0.0017,20.0505
26,2,6.2113,0.2789,0.0009,0.0000,0.0293,17.0372,0.0001,-18.1155
26,3,6.7887,0.2789,0.0009,0.0000,0.0293,17.0372,0.0017,20.0505
27,0,7.2113,0.2211,0.0005,-0.0000,0.0222,10.8504,-0.0004,-21.0523
27,1,7.7887,0.2211,0.0005,-0.0000,0.0222,10.8504,-0.0076,22.9773
27,2,7.2113,0.2789,0.0010,-0.0000,0.0222,19.6563,-0.0004,-21.0527
27,3,7.7887,0.2789,0.0010,-0.0000,0.0222,19.6563,-0.0076,22.9770
28,0,8.2113,0.2211,0.0006,0.0000,0.0141,12.2989,0.0009,-23.9840
28,1,8.7887,0.2211,0.0006,0.0000,0.0141,12.2989,0.0313,25.9313
28,2,8.2113,0.2789,0.0011,0.0000,0.0141,22.2820,0.0009,-23.9825
28,3,8.7887,0.2789,0.0011,0.0000,0.0141,22.2820,0.0313,25.9328
29,0,9.2113,0.2211,0.0007,-0.0000,0.0049,13.7381,-0.0013,-26.9347
29,1,9.7887,0.2211,0.0007,-0.0000,0.0049,13.7381,-0.1210,28.8592
29,2,9.2113,0.2789,0.0012,-0.0000,0.0049,24.8969,-0.0013,-26.9407
29,3,9.7887,0.2789,0.0012,-0.0000,0.0049,24.8969,-0.1210,28.8532
